id,indicator_code,indicator_name,long_definition,unit_of_measure,source_id,category_id
1,110600,110600:HEALTH - HHC (Category),,,71,24
2,2.4_OOSC.RATE,"Rate of out of school children, national source (% of relevant age group)","Number of children of official primary school age who are not enrolled in primary or secondary school, expressed as a percentage of the population of official primary school age. This indicator is intended to measure the size of the population in the official primary school age range that should be targeted by policies and efforts to achieve universal primary education. Country-specific definition, method and targets are determined by countries themselves.",,34,24
3,3.13_PRI.MATH.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, mathematics","Number of books used by a single pupil used as a standard work for the study of the mathematics subject. Country-specific definition, method and targets are determined by countries themselves.",,34,24
4,3.14_PRI.LANGU.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, language","Number of books used by a single pupil used as a standard work for the study of the primary language of instruction. Country-specific definition, method and targets are determined by countries themselves.",,34,24
5,5.2.1_TLS.TOT.AID.AUSAID.CFAUS,"International aid disbursed to total education, AusAID and ChildFund Australia to Tajikistan (USD million)","International concessional aid disbursed by the reporting development partner to the total education sector in the specific developing country. Targets indicate scheduled or projected aid. Accounted aid includes activities, projects, technical cooperation and sector and budget support (20%), as it was reported by the donor to the Global Partnership for Education.",,34,24
6,5.2.8_TLS.TOT.AID.CFNZL,"International aid disbursed to total education, ChildFund NZAID and UNICEF to Timor-Leste (USD million)","International concessional aid disbursed by the reporting development partner to the total education sector in the specific developing country. Targets indicate scheduled or projected aid. Accounted aid includes activities, projects, technical cooperation and sector and budget support (20%), as it was reported by the donor to the Global Partnership for Education.",,34,24
7,9080000,9080000:ACTUAL HEALTH,,,78,24
8,BI.EMP.FRML.HE.PB.ZS,"Health workers, as a share of public formal employees",,,64,24
9,BI.EMP.FRML.PB.HE.ZS,"Public sector employment, as a share of formal employment, by industry: Health",,,64,24
10,BI.EMP.PUBS.FE.HE.ZS,"Public sector female employment, as a share of paid employment by industry: Health",,,64,24
11,BI.EMP.PWRK.HE.PB.ZS,"Health workers, as a share of public paid employees",,,64,24
12,BI.EMP.PWRK.PB.HE.ZS,"Public sector employment, as a share of paid employment, by industry: Health",,,64,24
13,BI.EMP.TOTL.HE.PB.ZS,"Health workers, as a share of public total employees",,,64,24
14,BI.EMP.TOTL.NO.HE,"Number of employed employees, by industry: Health",,,64,24
15,BI.EMP.TOTL.PB.HE.ZS,"Public sector employment, as a share of total employment, by industry: Health",,,64,24
16,BI.PWK.AGES.PB.HE.MD,"Median age of public paid employees, by industry: Health",,,64,24
17,BI.PWK.AGES.PB.HE.SM,"Mean age of public paid employees, by industry: Health",,,64,24
18,BI.PWK.AGES.PV.HE.MD,"Median age of private paid employees, by industry: Health",,,64,24
19,BI.PWK.AGES.PV.HE.SM,"Mean age of private paid employees, by industry: Health",,,64,24
20,BI.PWK.CMPA.HD.MD,"Cross-country public sector pay comparison ratio, by occupation: Hospital doctor (using median)",,,64,24
21,BI.PWK.CMPA.HD.SM,"Cross-country public sector pay comparison ratio, by occupation: Hospital doctor (using mean)",,,64,24
22,BI.PWK.CMPA.HN.MD,"Cross-country public sector pay comparison ratio, by occupation: Hospital nurse (using median)",,,64,24
23,BI.PWK.CMPA.HN.SM,"Cross-country public sector pay comparison ratio, by occupation: Hospital nurse (using mean)",,,64,24
24,BI.PWK.PRVS.HS.ZS,Share of private paid employees with health insurance,,,64,24
25,BI.PWK.PRVS.TT.HE.ZS,"Individuals with tertiary education as a share of private paid employees, by industry: Health",,,64,24
26,BI.PWK.PUBS.HE.FE.ZS,"Females, as a share of public paid employees by industry: Health",,,64,24
27,BI.PWK.PUBS.HS.ZS,Share of public paid employees with health insurance,,,64,24
28,BI.PWK.PUBS.NO.HE,"Number of public paid employees, by industry: Health",,,64,24
29,BI.PWK.PUBS.RU.HE.ZS,"Rural residents, as a share of public paid employees, by industry: Health",,,64,24
30,BI.PWK.PUBS.TT.HE.ZS,"Individuals with tertiary education as a share of public paid employees, by industry: Health",,,64,24
31,BI.PWK.TOTL.NO.HE,"Number of paid employees, by industry: Health",,,64,24
32,BI.WAG.CPRS.PB.HD.ZS,"Pay compression ratio in public sector, by occupation: Hospital doctor (clerk as reference)",,,64,24
