"country_code","country_name","capital_city","region_id","income_level"
"ABW","Aruba","Oranjestad",3,"High income"
"AFG","Afghanistan","Kabul",4,"Low income"
"AGO","Angola","Luanda",7,"Lower middle income"
"ALB","Albania","Tirane",2,"Upper middle income"
"AND","Andorra","Andorra la Vella",2,"High income"
"ARE","United Arab Emirates","Abu Dhabi",4,"High income"
"ARG","Argentina","Buenos Aires",3,"Upper middle income"
"ARM","Armenia","Yerevan",2,"Upper middle income"
"ASM","American Samoa","Pago Pago",1,"High income"
"ATG","Antigua and Barbuda","Saint John's",3,"High income"
"AUS","Australia","Canberra",1,"High income"
"AUT","Austria","Vienna",2,"High income"
"AZE","Azerbaijan","Baku",2,"Upper middle income"
"BDI","Burundi","Bujumbura",7,"Low income"
"BEL","Belgium","Brussels",2,"High income"
"BEN","Benin","Porto-Novo",7,"Lower middle income"
"BFA","Burkina Faso","Ouagadougou",7,"Low income"
"BGD","Bangladesh","Dhaka",6,"Lower middle income"
"BGR","Bulgaria","Sofia",2,"High income"
"BHR","Bahrain","Manama",4,"High income"
"BHS","Bahamas, The","Nassau",3,"High income"
"BIH","Bosnia and Herzegovina","Sarajevo",2,"Upper middle income"
"BLR","Belarus","Minsk",2,"Upper middle income"
"BLZ","Belize","Belmopan",3,"Upper middle income"
"BMU","Bermuda","Hamilton",5,"High income"
"BOL","Bolivia","La Paz",3,"Lower middle income"
"BRA","Brazil","Brasilia",3,"Upper middle income"
"BRB","Barbados","Bridgetown",3,"High income"
"BRN","Brunei Darussalam","Bandar Seri Begawan",1,"High income"
"BTN","Bhutan","Thimphu",6,"Lower middle income"
"BWA","Botswana","Gaborone",7,"Upper middle income"
"CAF","Central African Republic","Bangui",7,"Low income"
"CAN","Canada","Ottawa",5,"High income"
"CHE","Switzerland","Bern",2,"High income"
"CHL","Chile","Santiago",3,"High income"
"CHN","China","Beijing",1,"Upper middle income"
"CIV","Cote d'Ivoire","Yamoussoukro",7,"Lower middle income"
"CMR","Cameroon","Yaounde",7,"Lower middle income"
"COD","Congo, Dem. Rep.","Kinshasa",7,"Low income"
"COG","Congo, Rep.","Brazzaville",7,"Lower middle income"
"COL","Colombia","Bogota",3,"Upper middle income"
"COM","Comoros","Moroni",7,"Lower middle income"
"CPV","Cabo Verde","Praia",7,"Upper middle income"
"CRI","Costa Rica","San Jose",3,"High income"
"CUB","Cuba","Havana",3,"Upper middle income"
"CUW","Curacao","Willemstad",3,"High income"
"CYM","Cayman Islands","George Town",3,"High income"
"CYP","Cyprus","Nicosia",2,"High income"
"CZE","Czechia","Prague",2,"High income"
"DEU","Germany","Berlin",2,"High income"
