"id";"category_name";"description"
1;"Agriculture & Rural Development  ";""
2;"Aid Effectiveness ";""
3;"Economy & Growth";""
4;"Education ";""
5;"Energy & Mining ";""
6;"Environment ";""
7;"Financial Sector ";""
9;"Infrastructure ";""
10;"Social Protection & Labor";""
11;"Poverty ";""
12;"Private Sector";""
13;"Public Sector ";""
14;"Science & Technology ";""
16;"Urban Development ";""
17;"Gender";""
18;"Millenium development goals";""
19;"Climate Change";""
20;"External Debt";""
21;"Trade";""
22;"";""
