id,country_code,indicator_code,year,value,footnote
1,AFG,NY.GDP.MKTP.CD,2023,17152234636.8715,NULL
2,AFG,NY.GDP.MKTP.CD,2022,14497243872.1337,NULL
3,AFG,NY.GDP.MKTP.CD,2021,14259995441.0759,NULL
4,AFG,NY.GDP.MKTP.CD,2020,19955929052.1496,NULL
5,AFG,NY.GDP.MKTP.CD,2019,18799444490.1128,NULL
6,AFG,NY.GDP.MKTP.CD,2018,18053222687.4126,NULL
7,AFG,NY.GDP.MKTP.CD,2017,18753456497.8159,NULL
8,AFG,NY.GDP.MKTP.CD,2016,18116572395.0772,NULL
9,AFG,NY.GDP.MKTP.CD,2015,19134221644.7325,NULL
10,AFG,NY.GDP.MKTP.CD,2014,20497128555.6972,NULL
11,AFG,NY.GDP.MKTP.CD,2013,20146416757.5987,NULL
12,AFG,NY.GDP.MKTP.CD,2012,19907329777.5872,NULL
13,AFG,NY.GDP.MKTP.CD,2011,17805098206.3141,NULL
14,AFG,NY.GDP.MKTP.CD,2010,15856668555.8336,NULL
15,AFG,NY.GDP.MKTP.CD,2009,12416152732.0567,NULL
16,AFG,NY.GDP.MKTP.CD,2008,10109297047.5432,NULL
17,AFG,NY.GDP.MKTP.CD,2007,9747886187.39393,NULL
18,AFG,NY.GDP.MKTP.CD,2006,6971758282.29351,NULL
19,AFG,NY.GDP.MKTP.CD,2005,6203256538.70967,NULL
20,AFG,NY.GDP.MKTP.CD,2004,5224896718.67782,NULL
21,AFG,NY.GDP.MKTP.CD,2003,4520946818.54581,NULL
22,AFG,NY.GDP.MKTP.CD,2002,3825701438.99963,NULL
23,AFG,NY.GDP.MKTP.CD,2001,2813571753.87253,NULL
24,AFG,NY.GDP.MKTP.CD,2000,3521418059.92345,NULL
25,ALB,NY.GDP.MKTP.CD,2023,23547180412.3404,NULL
26,ALB,NY.GDP.MKTP.CD,2022,19017244116.7203,NULL
27,ALB,NY.GDP.MKTP.CD,2021,18032009220.4405,NULL
28,ALB,NY.GDP.MKTP.CD,2020,15241455556.3737,NULL
