"id","source_name","source_organization","source_url","description"
1,"Doing Business","","",""
2,"World Development Indicators","","",""
11,"Africa Development Indicators","","",""
12,"Education Statistics","","",""
13,"Enterprise Surveys","","",""
14,"Gender Statistics","","",""
15,"Global Economic Monitor","","",""
18,"IDA Results Measurement System","","",""
19,"Millennium Development Goals","","",""
20,"Quarterly Public Sector Debt","","",""
22,"Quarterly External Debt Statistics SDDS","","",""
23,"Quarterly External Debt Statistics GDDS","","",""
27,"Global Economic Prospects","","",""
28,"Global Findex database","","",""
29,"The Atlas of Social Protection: Indicators of Resilience and Equity","","",""
